≥ı ºx,3point,5,7,9
17483,4.698969756,1.691147077,1.231936369,0.881160235
16864,3.581773606,2.716223854,1.869558704,2.853627291
18229,8.950455973,3.076415034,1.552791979,2.185867192
15805,4.73440008,3.33297067,2.357664115,2.303354859
15409,4.998422401,1.731951493,2.149314971,0.497419874
15305,4.287423633,3.87021819,1.576607089,0.984543563
14961,5.590523766,3.481934022,2.584411758,0.755236317
16266,7.869819125,2.236229127,2.321617368,0.965380819
17870,4.654786302,3.767523431,1.124678849,1.585179216
18144,9.131326724,4.341839494,1.953025503,1.84000615
,,,,
,5.849790137,3.024645239,1.87216067,1.485177551
