≥ı ºx,MSE_3,5,7,9,MAE_3,5,7,9
18034,7.115265315,4.634578812,2.574761883,2.043852019,2.335096295,1.900406639,1.290946767,1.198579376
18307,4.240161215,2.440690636,1.619997344,3.944726201,1.594743946,1.369387472,0.965600318,1.683691175
16596,5.480554405,3.78976502,1.434589741,1.397366637,1.92235475,1.61922605,0.946203157,0.896421641
16754,5.429409707,2.578313527,2.429198264,1.300740298,1.989853721,1.307861301,1.096698522,0.790941922
14769,4.954469075,3.58768935,1.240109992,1.184044884,1.82361822,1.57432583,0.939269954,0.874110688
15784,5.783771707,3.750350067,1.234211393,2.460918435,2.012443034,1.629490348,0.904826968,1.216363419
17103,3.694851471,3.411847588,1.228347657,1.901818431,1.677471619,1.512287473,0.964052052,1.175679602
17249,5.862234003,1.232313199,3.277209931,1.769143144,2.128597687,0.903464934,1.576298443,1.045835125
17434,6.267461822,1.464182558,1.283102657,2.215100047,2.060319546,0.982224054,0.832655699,1.041564736
16124,4.209679303,1.050916432,1.702995176,2.193357258,1.839712998,0.84794266,1.102919774,1.157465683
,,,,,,,,
,5.303785802,2.794064719,1.802452404,2.041106735,1.938421181,1.364661676,1.061947166,1.108065337
